"id","migration","batch"
1,"2014_10_12_000000_create_users_table",1
2,"2014_10_12_100000_create_password_reset_tokens_table",1
3,"2019_08_19_000000_create_failed_jobs_table",1
4,"2019_12_14_000001_create_personal_access_tokens_table",1
5,"2023_12_17_232943_create_threads_table",1
6,"2023_12_25_221106_add_user_id_to_threads_table",1
7,"2023_12_27_212517_create_comments_table",1
8,"2023_12_28_022918_create_categories_table",2
9,"2024_01_10_000217_create_votes_table",3
10,"2024_01_10_005236_add_type_to_votes_table",4
